url,team_name
https://www.vlr.gg/team/2670/ignite,ignite
https://www.vlr.gg/team/8603/ejutsu-gaming,ejutsu gaming
https://www.vlr.gg/team/2162/lil-pamp-esports,lil pamp esports
https://www.vlr.gg/team/10148/team-empire,team empire
https://www.vlr.gg/team/8941/dortmund-esports,dortmund esports
https://www.vlr.gg/team/10229/mcast,mcast
https://www.vlr.gg/team/9057/radicals,radicals
https://www.vlr.gg/team/7238/uzhiki,uzhiki
https://www.vlr.gg/team/11163/le-afc-esports,leçafc esports
https://www.vlr.gg/team/11257/szach-mat,szach mat
https://www.vlr.gg/team/9133/hakuba-esports,hakuba esports
https://www.vlr.gg/team/548/wygers,wygers
https://www.vlr.gg/team/11603/blx-utd,blx utd
https://www.vlr.gg/team/9804/guinea-pink,guinea pink
https://www.vlr.gg/team/8920/bloodh0nd-gang,bloodh0nd gang
https://www.vlr.gg/team/7072/nomad,nomad
https://www.vlr.gg/team/6230/team-lixa,team lixa
https://www.vlr.gg/team/10161/never-named,never named
https://www.vlr.gg/team/11867/ehbit-gaming,ehbit gaming
https://www.vlr.gg/team/9746/stimmy-brimmy,stimmy brimmy
https://www.vlr.gg/team/10082/cs7doggoam,cs7doggoam
https://www.vlr.gg/team/7243/b8-esports,b8 esports
https://www.vlr.gg/team/5714/woofwoof,woofwoof
https://www.vlr.gg/team/9042/teamorangegaming,teamorangegaming
https://www.vlr.gg/team/9913/team-fragster,team fragster
https://www.vlr.gg/team/6400/human-tripwires,human tripwires
https://www.vlr.gg/team/2908/thunderbolts-gaming,thunderbolts gaming
https://www.vlr.gg/team/11871/bonfire-hc,bonfire hc
https://www.vlr.gg/team/9654/hua-sect,hua sect
https://www.vlr.gg/team/1558/john-howard,john howard
https://www.vlr.gg/team/10239/lodis,lodis
https://www.vlr.gg/team/11974/heizung-auf-5,heizung auf 5
https://www.vlr.gg/team/4202/olympiacos-alimou,olympiacos alimou
https://www.vlr.gg/team/10024/l4o,l4o
https://www.vlr.gg/team/3861/b-k-scsabai-e-sport-egyes-let,békéscsabai e-sport egyesület
https://www.vlr.gg/team/7171/big-blue-charizard,big blue charizard
https://www.vlr.gg/team/11273/3dmax,3dmax
https://www.vlr.gg/team/11250/aex-1,aex-1
https://www.vlr.gg/team/11239/duck-gaming,duck gaming
https://www.vlr.gg/team/11290/tbd,tbd
https://www.vlr.gg/team/6127/axolotl,axolotl
https://www.vlr.gg/team/4762/galakticos,galakticos
https://www.vlr.gg/team/1791/ftw-esports,ftw esports
https://www.vlr.gg/team/10264/ludus,ludus
https://www.vlr.gg/team/9509/serpes-gaming,serpes gaming
https://www.vlr.gg/team/11975/permitta-esports,permitta esports
https://www.vlr.gg/team/7964/boavista-fc,boavista fc
https://www.vlr.gg/team/9011/impulse-gaming-warriors,impulse gaming warriors
https://www.vlr.gg/team/8924/ramboot-club,ramboot club
